product_name,list_price,scraped_date,on_sale,url,availability
Roger Federer 23 Kids Tennis Racket,30.0,2020-12-21 14:07:29.177947,False,https://www.wilson.com/en-us/tennis/rackets/roger-federer-23-tennis-racket-158955,True
Blade Team Tennis Racket,120.0,2020-12-21 14:07:29.499890,False,https://www.wilson.com/en-us/tennis/rackets/blade-team-tennis-racket-156242,False
Burn 100S v4 Tennis Racket,149.0,2020-12-21 14:07:29.830962,False,https://www.wilson.com/en-us/tennis/rackets/burn-100s-v4-tennis-racket,True
Championship Extra Duty Tennis Balls - 4 Ball Can,5.99,2020-12-21 14:07:30.155792,False,https://www.wilson.com/en-us/tennis/balls/value/championship-extra-duty-tennis-balls-4-ball-can,False
Super Tour 2 Compartment Small Tennis Bag,89.0,2020-12-21 14:07:30.489157,False,https://www.wilson.com/en-us/tennis/bags/tour/small-super-tour-2-tennis-bag,False
"Pro Overgrip, 3 Pack",6.49,2020-12-21 14:07:30.763926,False,https://www.wilson.com/en-us/tennis/grips/pro-overgrip-3-pack-159468,True
"Pro Overgrip Sensation, 3 Pack",6.49,2020-12-21 14:07:31.020641,False,https://www.wilson.com/en-us/tennis/grips/overgrips/pro-overgrip-sensation-3-pack,True
Women's Rush Pro 3.0 Tennis Shoe,129.0,2020-12-21 14:07:31.317628,True,https://www.wilson.com/en-us/tennis/shoes/womens/women-s-rush-pro-3-0-159129,True
Wilson Roger Federer Junior Tennis Racquet,24.99,2020-12-21 14:07:38.411976,False,https://www.academy.com/shop/pdp/wilson-roger-federer-junior-tennis-racquet#repChildCatSku=122845378,True
Wilson Blade Team Tennis Racquet,119.99,2020-12-21 14:07:43.187400,False,https://www.academy.com/shop/pdp/wilson-blade-team-tennis-racquet#repChildCatid=6779776,True
Wilson Burn 100ULS Tennis Racquet,139.99,2020-12-21 14:07:46.892553,False,https://www.academy.com/shop/pdp/wilson-burn-100uls-tennis-racquet-118179392#repChildCatid=6759657,True
Wilson Championship Extra-Duty Tennis Balls 1 Can/3-Pack,2.49,2020-12-21 14:07:50.139796,False,https://www.academy.com/shop/pdp/wilson-championship-extra-duty-tennis-balls-1-can-3-pack#repChildCatid=460610,True
Wilson Team 1 Compartment Small Tennis Bag,39.99,2020-12-21 14:07:54.315098,False,https://www.academy.com/shop/pdp/wilson-team-1-compartment-small-tennis-bag#repChildCatid=6779780,False
Wilson Overgrips 3-Pack,5.99,2020-12-21 14:07:57.519605,False,https://www.academy.com/shop/pdp/wilson-overgrips-3-pack#repChildCatSku=007724172,True
Wilson Profile Overgrip 3-Pack,5.99,2020-12-21 14:08:00.815922,False,https://www.academy.com/shop/pdp/wilson-profile-overgrip-3-pack#repChildCatid=1448186,True
Wilson Women's Rush Pro 2.5 Tennis Shoes,129.99,2020-12-21 14:08:04.047535,False,https://www.academy.com/shop/pdp/wilson-womens-rush-pro-25-tennis-shoes-116129674#repChildCatid=5262044,False
"Details about   Wilson Youth Roger Federer Recreational Tennis Racket - 23""",28.13,2020-12-21 14:08:08.198557,False,https://www.ebay.com/itm/154201803162?chn=ps&mkevt=1&mkcid=28,True
Details about   Wilson Blade Team Tennis Racquet with Cover - (Brand New!),38.99,2020-12-21 14:08:13.254043,False,https://www.ebay.com/itm/Wilson-Blade-Team-Tennis-Racquet-with-Cover-Brand-New/293311800614?hash=item444abee526:g:a9wAAOSwU51dvzoG,True
"Details about   New Wilson Burn 100 ULS Ultra Lite Tennis Racquet, 4 1/4"", Free Shipping ",107.0,2020-12-21 14:08:15.727811,False,https://www.ebay.com/itm/New-Wilson-Burn-100-ULS-Ultra-Lite-Tennis-Racquet-4-1-4-Free-Shipping/274523313950,True
Details about   Wilson Championship Extra Duty Tennis Balls Clive Brunskill Sealed 3 Balls New ,24.99,2020-12-21 14:08:18.504645,False,https://www.ebay.com/itm/Wilson-Championship-Extra-Duty-Tennis-Balls-Clive-Brunskill-Sealed-3-Balls-New/143844577471,True
Details about   Wilson Classic Tennis Racket Bag With Accessory Storage Free Shipping,35.0,2020-12-21 14:08:20.891375,False,https://www.ebay.com/itm/Wilson-Classic-Tennis-Racket-Bag-With-Accessory-Storage-Free-Shipping/284114181272,True
Details about   NEW Wilson Pro Overgrip - 3 Pack Tennis Grip Tape Roger Federer RF WHITE,9.99,2020-12-21 14:08:23.419105,False,https://www.ebay.com/itm/NEW-Wilson-Pro-Overgrip-3-Pack-Tennis-Grip-Tape-Roger-Federer-RF-WHITE/123252083949,True
Details about   Wilson Pro Sensation 3-pack tennis overgrip,6.49,2020-12-21 14:08:25.973195,False,https://www.ebay.com/itm/Wilson-Pro-Sensation-3-pack-tennis-overgrip/293605926579,True
Details about   Wilson Rush Pro 2.5 Women’s Tennis Shoes ASTRAL AURA,65.0,2020-12-21 14:08:28.384998,False,https://www.ebay.com/itm/Wilson-Rush-Pro-2-5-Women-s-Tennis-Shoes-ASTRAL-AURA/124218162269,True
